,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
1099,Tomisław,m,pl,Tomisławowie,Tomisławów,Tomisławom,Tomisławów,Tomisławami,Tomisławach,Tomisławowie,Tomisławowie,Tomisławów,Tomisławom,Tomisławów,Tomisławami,Tomisławach,Tomisławowie
1100,Tristan,m,s,Tristan,Tristana,Tristanowi,Tristana,Tristanem,Tristanie,Tristanie,Tristan,Tristana,Tristanowi,Tristana,Tristanem,Tristanie,Tristanie
1101,Tristan,m,pl,Tristanowie,Tristanów,Tristanom,Tristanów,Tristanami,Tristanach,Tristanowie,Tristanowie,Tristanów,Tristanom,Tristanów,Tristanami,Tristanach,Tristanowie
1102,Tymon,m,s,Tymon,Tymona,Tymonowi,Tymona,Tymonem,Tymonie,Tymonie,Tymon,Tymona,Tymonowi,Tymona,Tymonem,Tymonie,Tymonie
1103,Tymon,m,pl,Tymonowie,Tymonów,Tymonom,Tymonów,Tymonami,Tymonach,Tymonowie,Tymonowie,Tymonów,Tymonom,Tymonów,Tymonami,Tymonach,Tymonowie
1104,Tymoteusz,m,s,Tymoteusz,Tymoteusza,Tymoteuszowi,Tymoteusza,Tymoteuszem,Tymoteuszu,Tymoteuszu,Tymoteusz,Tymoteusza,Tymoteuszowi,Tymoteusza,Tymoteuszem,Tymoteuszu,Tymoteuszu
1105,Tymoteusz,m,pl,Tymoteuszowie,Tymoteuszów,Tymoteuszom,Tymoteuszów,Tymoteuszami,Tymoteuszach,Tymoteuszowie,Tymoteuszowie,Tymoteuszów,Tymoteuszom,Tymoteuszów,Tymoteuszami,Tymoteuszach,Tymoteuszowie
1106,Tytus,m,s,Tytus,Tytusa,Tytusowi,Tytusa,Tytusem,Tytusie,Tytusie,Tytus,Tytusa,Tytusowi,Tytusa,Tytusem,Tytusie,Tytusie
1107,Tytus,m,pl,Tytusowie,Tytusów,Tytusom,Tytusów,Tytusami,Tytusach,Tytusowie,Tytusowie,Tytusów,Tytusom,Tytusów,Tytusami,Tytusach,Tytusowie
1108,Urban,m,s,Urban,Urbana,Urbanowi,Urbana,Urbanem,Urbanie,Urbanie,Urban,Urbana,Urbanowi,Urbana,Urbanem,Urbanie,Urbanie
1109,Urban,m,pl,Urbanowie,Urbanów,Urbanom,Urbanów,Urbanami,Urbanach,Urbanowie,Urbanowie,Urbanów,Urbanom,Urbanów,Urbanami,Urbanach,Urbanowie
1110,Ursyn,m,s,Ursyn,Ursyna,Ursynowi,Ursyna,Ursynem,Ursynie,Ursynie,Ursyn,Ursyna,Ursynowi,Ursyna,Ursynem,Ursynie,Ursynie
1111,Ursyn,m,pl,Ursynowie,Ursynów,Ursynom,Ursynów,Ursynami,Ursynach,Ursynowie,Ursynowie,Ursynów,Ursynom,Ursynów,Ursynami,Ursynach,Ursynowie
1112,Wacław,m,s,Wacław,Wacława,Wacławowi,Wacława,Wacławem,Wacławie,Wacławie,Wacław,Wacława,Wacławowi,Wacława,Wacławem,Wacławie,Wacławie
1113,Wacław,m,pl,Wacławowie,Wacławów,Wacławom,Wacławów,Wacławami,Wacławach,Wacławowie,Wacławowie,Wacławów,Wacławom,Wacławów,Wacławami,Wacławach,Wacławowie
1114,Wahid,m,s,Wahid,Wahida,Wahidowi,Wahida,Wahidem,Wahidzie,Wahidzie,Wahid,Wahida,Wahidowi,Wahida,Wahidem,Wahidzie,Wahidzie
1115,Wahid,m,pl,Wahidzi,Wahidów,Wahidom,Wahidów,Wahidami,Wahidach,Wahidzi,Wahidzi,Wahidów,Wahidom,Wahidów,Wahidami,Wahidach,Wahidzi
1116,Waldemar,m,s,Waldemar,Waldemara,Waldemarowi,Waldemara,Waldemarem,Waldemarze,Waldemarze,Waldemar,Waldemara,Waldemarowi,Waldemara,Waldemarem,Waldemarze,Waldemarze
1117,Waldemar,m,pl,Waldemarowie,Waldemarów,Waldemarom,Waldemarów,Waldemarami,Waldemarach,Waldemarowie,Waldemarowie,Waldemarów,Waldemarom,Waldemarów,Waldemarami,Waldemarach,Waldemarowie
1118,Walenty,m,s,Walenty,Walentego,Walentemu,Walentego,Walentym,Walentym,Walenty,Walenty,Walentego,Walentemu,Walentego,Walentym,Walentym,Walenty
1119,Walenty,m,pl,Walentowie,Walentych,Walentym,Walentych,Walentymi,Walentych,Walentowie,Walentowie,Walentych,Walentym,Walentych,Walentymi,Walentych,Walentowie
1120,Walerian,m,s,Walerian,Waleriana,Walerianowi,Waleriana,Walerianem,Walerianie,Walerianie,Walerian,Waleriana,Walerianowi,Waleriana,Walerianem,Walerianie,Walerianie
1121,Walerian,m,pl,Walerianowie,Walerianów,Walerianom,Walerianów,Walerianami,Walerianach,Walerianowie,Walerianowie,Walerianów,Walerianom,Walerianów,Walerianami,Walerianach,Walerianowie
1122,Waryn,m,s,Waryn,Waryna,Warynowi,Waryna,Warynem,Warynie,Warynie,Waryn,Waryna,Warynowi,Waryna,Warynem,Warynie,Warynie
