,name,sex,declination_json_pl,declination_json_lat,name_id
371,Gualfard,m,"{'mianownik': {'s': 'Gualfard', 'pl': 'Gualfardowie'}, 'dopełniacz': {'s': 'Gualfarda', 'pl': 'Gualfardów'}, 'celownik': {'s': 'Gualfardowi', 'pl': 'Gualfardom'}, 'biernik': {'s': 'Gualfarda', 'pl': 'Gualfardów'}, 'narzędnik': {'s': 'Gualfardem', 'pl': 'Gualfardami'}, 'miejscownik': {'s': 'Gualfardzie', 'pl': 'Gualfardach'}, 'wołacz': {'s': 'Gualfardzie', 'pl': 'Gualfardowie'}}","{'nominativus': {'s': 'Gualfard', 'pl': 'Gualfardowie'}, 'genetivus': {'s': 'Gualfarda', 'pl': 'Gualfardów'}, 'dativus': {'s': 'Gualfardowi', 'pl': 'Gualfardom'}, 'accusativus': {'s': 'Gualfarda', 'pl': 'Gualfardów'}, 'instrumentalis': {'s': 'Gualfardem', 'pl': 'Gualfardami'}, 'locativus': {'s': 'Gualfardzie', 'pl': 'Gualfardach'}, 'vocativus': {'s': 'Gualfardzie', 'pl': 'Gualfardowie'}}",371
372,Gustaw,m,"{'mianownik': {'s': 'Gustaw', 'pl': 'Gustawowie'}, 'dopełniacz': {'s': 'Gustawa', 'pl': 'Gustawów'}, 'celownik': {'s': 'Gustawowi', 'pl': 'Gustawom'}, 'biernik': {'s': 'Gustawa', 'pl': 'Gustawów'}, 'narzędnik': {'s': 'Gustawem', 'pl': 'Gustawami'}, 'miejscownik': {'s': 'Gustawie', 'pl': 'Gustawach'}, 'wołacz': {'s': 'Gustawie', 'pl': 'Gustawowie'}}","{'nominativus': {'s': 'Gustaw', 'pl': 'Gustawowie'}, 'genetivus': {'s': 'Gustawa', 'pl': 'Gustawów'}, 'dativus': {'s': 'Gustawowi', 'pl': 'Gustawom'}, 'accusativus': {'s': 'Gustawa', 'pl': 'Gustawów'}, 'instrumentalis': {'s': 'Gustawem', 'pl': 'Gustawami'}, 'locativus': {'s': 'Gustawie', 'pl': 'Gustawach'}, 'vocativus': {'s': 'Gustawie', 'pl': 'Gustawowie'}}",372
373,Hadrian,m,"{'mianownik': {'s': 'Hadrian', 'pl': 'Hadrianowie'}, 'dopełniacz': {'s': 'Hadriana', 'pl': 'Hadrianów'}, 'celownik': {'s': 'Hadrianowi', 'pl': 'Hadrianom'}, 'biernik': {'s': 'Hadriana', 'pl': 'Hadrianów'}, 'narzędnik': {'s': 'Hadrianem', 'pl': 'Hadrianami'}, 'miejscownik': {'s': 'Hadrianie', 'pl': 'Hadrianach'}, 'wołacz': {'s': 'Hadrianie', 'pl': 'Hadrianowie'}}","{'nominativus': {'s': 'Hadrian', 'pl': 'Hadrianowie'}, 'genetivus': {'s': 'Hadriana', 'pl': 'Hadrianów'}, 'dativus': {'s': 'Hadrianowi', 'pl': 'Hadrianom'}, 'accusativus': {'s': 'Hadriana', 'pl': 'Hadrianów'}, 'instrumentalis': {'s': 'Hadrianem', 'pl': 'Hadrianami'}, 'locativus': {'s': 'Hadrianie', 'pl': 'Hadrianach'}, 'vocativus': {'s': 'Hadrianie', 'pl': 'Hadrianowie'}}",373
374,Henryk,m,"{'mianownik': {'s': 'Henryk', 'pl': 'Henrykowie'}, 'dopełniacz': {'s': 'Henryka', 'pl': 'Henryków'}, 'celownik': {'s': 'Henrykowi', 'pl': 'Henrykom'}, 'biernik': {'s': 'Henryka', 'pl': 'Henryków'}, 'narzędnik': {'s': 'Henrykiem', 'pl': 'Henrykami'}, 'miejscownik': {'s': 'Henryku', 'pl': 'Henrykach'}, 'wołacz': {'s': 'Henryku', 'pl': 'Henrykowie'}}","{'nominativus': {'s': 'Henryk', 'pl': 'Henrykowie'}, 'genetivus': {'s': 'Henryka', 'pl': 'Henryków'}, 'dativus': {'s': 'Henrykowi', 'pl': 'Henrykom'}, 'accusativus': {'s': 'Henryka', 'pl': 'Henryków'}, 'instrumentalis': {'s': 'Henrykiem', 'pl': 'Henrykami'}, 'locativus': {'s': 'Henryku', 'pl': 'Henrykach'}, 'vocativus': {'s': 'Henryku', 'pl': 'Henrykowie'}}",374
375,Herakliusz,m,"{'mianownik': {'s': 'Herakliusz', 'pl': 'Herakliuszowie'}, 'dopełniacz': {'s': 'Herakliusza', 'pl': 'Herakliuszów'}, 'celownik': {'s': 'Herakliuszowi', 'pl': 'Herakliuszom'}, 'biernik': {'s': 'Herakliusza', 'pl': 'Herakliuszów'}, 'narzędnik': {'s': 'Herakliuszem', 'pl': 'Herakliuszami'}, 'miejscownik': {'s': 'Herakliuszu', 'pl': 'Herakliuszach'}, 'wołacz': {'s': 'Herakliuszu', 'pl': 'Herakliuszowie'}}","{'nominativus': {'s': 'Herakliusz', 'pl': 'Herakliuszowie'}, 'genetivus': {'s': 'Herakliusza', 'pl': 'Herakliuszów'}, 'dativus': {'s': 'Herakliuszowi', 'pl': 'Herakliuszom'}, 'accusativus': {'s': 'Herakliusza', 'pl': 'Herakliuszów'}, 'instrumentalis': {'s': 'Herakliuszem', 'pl': 'Herakliuszami'}, 'locativus': {'s': 'Herakliuszu', 'pl': 'Herakliuszach'}, 'vocativus': {'s': 'Herakliuszu', 'pl': 'Herakliuszowie'}}",375
376,Herbert,m,"{'mianownik': {'s': 'Herbert', 'pl': 'Herbertowie'}, 'dopełniacz': {'s': 'Herberta', 'pl': 'Herbertów'}, 'celownik': {'s': 'Herbertowi', 'pl': 'Herbertom'}, 'biernik': {'s': 'Herberta', 'pl': 'Herbertów'}, 'narzędnik': {'s': 'Herbertem', 'pl': 'Herbertami'}, 'miejscownik': {'s': 'Herbercie', 'pl': 'Herbertach'}, 'wołacz': {'s': 'Herbercie', 'pl': 'Herbertowie'}}","{'nominativus': {'s': 'Herbert', 'pl': 'Herbertowie'}, 'genetivus': {'s': 'Herberta', 'pl': 'Herbertów'}, 'dativus': {'s': 'Herbertowi', 'pl': 'Herbertom'}, 'accusativus': {'s': 'Herberta', 'pl': 'Herbertów'}, 'instrumentalis': {'s': 'Herbertem', 'pl': 'Herbertami'}, 'locativus': {'s': 'Herbercie', 'pl': 'Herbertach'}, 'vocativus': {'s': 'Herbercie', 'pl': 'Herbertowie'}}",376
377,Hermes,m,"{'mianownik': {'s': 'Hermes', 'pl': 'Hermesowie'}, 'dopełniacz': {'s': 'Hermesa', 'pl': 'Hermesów'}, 'celownik': {'s': 'Hermesowi', 'pl': 'Hermesom'}, 'biernik': {'s': 'Hermesa', 'pl': 'Hermesów'}, 'narzędnik': {'s': 'Hermesem', 'pl': 'Hermesami'}, 'miejscownik': {'s': 'Hermesie', 'pl': 'Hermesach'}, 'wołacz': {'s': 'Hermesie', 'pl': 'Hermesowie'}}","{'nominativus': {'s': 'Hermes', 'pl': 'Hermesowie'}, 'genetivus': {'s': 'Hermesa', 'pl': 'Hermesów'}, 'dativus': {'s': 'Hermesowi', 'pl': 'Hermesom'}, 'accusativus': {'s': 'Hermesa', 'pl': 'Hermesów'}, 'instrumentalis': {'s': 'Hermesem', 'pl': 'Hermesami'}, 'locativus': {'s': 'Hermesie', 'pl': 'Hermesach'}, 'vocativus': {'s': 'Hermesie', 'pl': 'Hermesowie'}}",377
378,Hiacynt,m,"{'mianownik': {'s': 'Hiacynt', 'pl': 'Hiacyntowie'}, 'dopełniacz': {'s': 'Hiacynta', 'pl': 'Hiacyntów'}, 'celownik': {'s': 'Hiacyntowi', 'pl': 'Hiacyntom'}, 'biernik': {'s': 'Hiacynta', 'pl': 'Hiacyntów'}, 'narzędnik': {'s': 'Hiacyntem', 'pl': 'Hiacyntami'}, 'miejscownik': {'s': 'Hiacyncie', 'pl': 'Hiacyntach'}, 'wołacz': {'s': 'Hiacyncie', 'pl': 'Hiacyntowie'}}","{'nominativus': {'s': 'Hiacynt', 'pl': 'Hiacyntowie'}, 'genetivus': {'s': 'Hiacynta', 'pl': 'Hiacyntów'}, 'dativus': {'s': 'Hiacyntowi', 'pl': 'Hiacyntom'}, 'accusativus': {'s': 'Hiacynta', 'pl': 'Hiacyntów'}, 'instrumentalis': {'s': 'Hiacyntem', 'pl': 'Hiacyntami'}, 'locativus': {'s': 'Hiacyncie', 'pl': 'Hiacyntach'}, 'vocativus': {'s': 'Hiacyncie', 'pl': 'Hiacyntowie'}}",378
379,Hieronim,m,"{'mianownik': {'s': 'Hieronim', 'pl': 'Hieronimowie'}, 'dopełniacz': {'s': 'Hieronima', 'pl': 'Hieronimów'}, 'celownik': {'s': 'Hieronimowi', 'pl': 'Hieronimom'}, 'biernik': {'s': 'Hieronima', 'pl': 'Hieronimów'}, 'narzędnik': {'s': 'Hieronimem', 'pl': 'Hieronimami'}, 'miejscownik': {'s': 'Hieronimie', 'pl': 'Hieronimach'}, 'wołacz': {'s': 'Hieronimie', 'pl': 'Hieronimowie'}}","{'nominativus': {'s': 'Hieronim', 'pl': 'Hieronimowie'}, 'genetivus': {'s': 'Hieronima', 'pl': 'Hieronimów'}, 'dativus': {'s': 'Hieronimowi', 'pl': 'Hieronimom'}, 'accusativus': {'s': 'Hieronima', 'pl': 'Hieronimów'}, 'instrumentalis': {'s': 'Hieronimem', 'pl': 'Hieronimami'}, 'locativus': {'s': 'Hieronimie', 'pl': 'Hieronimach'}, 'vocativus': {'s': 'Hieronimie', 'pl': 'Hieronimowie'}}",379
380,Hilary,m,"{'mianownik': {'s': 'Hilary', 'pl': 'Hilarowie'}, 'dopełniacz': {'s': 'Hilarego', 'pl': 'Hilarych'}, 'celownik': {'s': 'Hilaremu', 'pl': 'Hilarym'}, 'biernik': {'s': 'Hilarego', 'pl': 'Hilarych'}, 'narzędnik': {'s': 'Hilarym', 'pl': 'Hilarymi'}, 'miejscownik': {'s': 'Hilarym', 'pl': 'Hilarych'}, 'wołacz': {'s': 'Hilary', 'pl': 'Hilarowie'}}","{'nominativus': {'s': 'Hilary', 'pl': 'Hilarowie'}, 'genetivus': {'s': 'Hilarego', 'pl': 'Hilarych'}, 'dativus': {'s': 'Hilaremu', 'pl': 'Hilarym'}, 'accusativus': {'s': 'Hilarego', 'pl': 'Hilarych'}, 'instrumentalis': {'s': 'Hilarym', 'pl': 'Hilarymi'}, 'locativus': {'s': 'Hilarym', 'pl': 'Hilarych'}, 'vocativus': {'s': 'Hilary', 'pl': 'Hilarowie'}}",380
381,Horacy,m,"{'mianownik': {'s': 'Horacy', 'pl': 'Horacowie'}, 'dopełniacz': {'s': 'Horacego', 'pl': 'Horacych'}, 'celownik': {'s': 'Horacemu', 'pl': 'Horacym'}, 'biernik': {'s': 'Horacego', 'pl': 'Horacych'}, 'narzędnik': {'s': 'Horacym', 'pl': 'Horacymi'}, 'miejscownik': {'s': 'Horacym', 'pl': 'Horacych'}, 'wołacz': {'s': 'Horacy', 'pl': 'Horacowie'}}","{'nominativus': {'s': 'Horacy', 'pl': 'Horacowie'}, 'genetivus': {'s': 'Horacego', 'pl': 'Horacych'}, 'dativus': {'s': 'Horacemu', 'pl': 'Horacym'}, 'accusativus': {'s': 'Horacego', 'pl': 'Horacych'}, 'instrumentalis': {'s': 'Horacym', 'pl': 'Horacymi'}, 'locativus': {'s': 'Horacym', 'pl': 'Horacych'}, 'vocativus': {'s': 'Horacy', 'pl': 'Horacowie'}}",381
382,Hugo,m,"{'mianownik': {'s': 'Hugo', 'pl': 'Hugonowie'}, 'dopełniacz': {'s': 'Hugona', 'pl': 'Hugonów'}, 'celownik': {'s': 'Hugonowi', 'pl': 'Hugonom'}, 'biernik': {'s': 'Hugona', 'pl': 'Hugonów'}, 'narzędnik': {'s': 'Hugonem', 'pl': 'Hugonami'}, 'miejscownik': {'s': 'Hugonie', 'pl': 'Hugonach'}, 'wołacz': {'s': 'Hugonie', 'pl': 'Hugonowie'}}","{'nominativus': {'s': 'Hugo', 'pl': 'Hugonowie'}, 'genetivus': {'s': 'Hugona', 'pl': 'Hugonów'}, 'dativus': {'s': 'Hugonowi', 'pl': 'Hugonom'}, 'accusativus': {'s': 'Hugona', 'pl': 'Hugonów'}, 'instrumentalis': {'s': 'Hugonem', 'pl': 'Hugonami'}, 'locativus': {'s': 'Hugonie', 'pl': 'Hugonach'}, 'vocativus': {'s': 'Hugonie', 'pl': 'Hugonowie'}}",382
