,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
122,Bibiana,f,s,Bibiana,Bibiany,Bibianie,Bibianę,Bibianą,Bibianie,Bibiano,Bibiana,Bibiany,Bibianie,Bibianę,Bibianą,Bibianie,Bibiano
123,Bibiana,f,pl,Bibiany,Bibian,Bibianom,Bibiany,Bibianami,Bibianach,Bibiany,Bibiany,Bibian,Bibianom,Bibiany,Bibianami,Bibianach,Bibiany
124,Blanka,f,s,Blanka,Blanki,Blance,Blankę,Blanką,Blance,Blanko,Blanka,Blanki,Blance,Blankę,Blanką,Blance,Blanko
125,Bogdana,f,s,Bogdana,Bogdany,Bogdanie,Bogdanę,Bogdaną,Bogdanie,Bogdano,Bogdana,Bogdany,Bogdanie,Bogdanę,Bogdaną,Bogdanie,Bogdano
126,Bogna,f,s,Bogna,Bogny,Bognie,Bognę,Bogną,Bognie,Bogno,Bogna,Bogny,Bognie,Bognę,Bogną,Bognie,Bogno
127,Boguchwała,f,s,Boguchwała,Boguchwały,Boguchwale,Boguchwałę,Boguchwałą,Boguchwale,Boguchwało,Boguchwała,Boguchwały,Boguchwale,Boguchwałę,Boguchwałą,Boguchwale,Boguchwało
128,Boguchwała,f,pl,Boguchwały,Boguchwał,Boguchwałom,Boguchwały,Boguchwałami,Boguchwałach,Boguchwały,Boguchwały,Boguchwał,Boguchwałom,Boguchwały,Boguchwałami,Boguchwałach,Boguchwały
129,Bogumiła,f,s,Bogumiła,Bogumiły,Bogumile,Bogumiłę,Bogumiłą,Bogumile,Bogumiło,Bogumiła,Bogumiły,Bogumile,Bogumiłę,Bogumiłą,Bogumile,Bogumiło
130,Bogumiła,f,pl,Bogumiły,Bogumił,Bogumiłom,Bogumiły,Bogumiłami,Bogumiłach,Bogumiły,Bogumiły,Bogumił,Bogumiłom,Bogumiły,Bogumiłami,Bogumiłach,Bogumiły
131,Bogusława,f,s,Bogusława,Bogusławy,Bogusławie,Bogusławę,Bogusławą,Bogusławie,Bogusławo,Bogusława,Bogusławy,Bogusławie,Bogusławę,Bogusławą,Bogusławie,Bogusławo
132,Bojana,f,s,Bojana,Bojany,Bojanie,Bojanę,Bojaną,Bojanie,Bojano,Bojana,Bojany,Bojanie,Bojanę,Bojaną,Bojanie,Bojano
133,Bolesława,f,s,Bolesława,Bolesławy,Bolesławie,Bolesławę,Bolesławą,Bolesławie,Bolesławo,Bolesława,Bolesławy,Bolesławie,Bolesławę,Bolesławą,Bolesławie,Bolesławo
134,Bona,f,s,Bona,Bony,Bonie,Bonę,Boną,Bonie,Bono,Bona,Bony,Bonie,Bonę,Boną,Bonie,Bono
135,Bona,f,pl,Bony,Bon,Bonom,Bony,Bonami,Bonach,Bony,Bony,Bon,Bonom,Bony,Bonami,Bonach,Bony
136,Bożena,f,s,Bożena,Bożeny,Bożenie,Bożenę,Bożeną,Bożenie,Bożeno,Bożena,Bożeny,Bożenie,Bożenę,Bożeną,Bożenie,Bożeno
