,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
120,Desreta,f,pl,,,,,,,,,,,,,,
121,Dilara,f,s,,,,,,,,,,,,,,
122,Dilara,f,pl,,,,,,,,,,,,,,
123,Dobiesława,f,s,,,,,,,,,,,,,,
124,Dobiesława,f,pl,,,,,,,,,,,,,,
125,Dobrochna,f,s,,,,,,,,,,,,,,
126,Dobrochna,f,pl,,,,,,,,,,,,,,
127,Domasława,f,s,,,,,,,,,,,,,,
128,Domasława,f,pl,,,,,,,,,,,,,,
129,Donata,f,s,,,,,,,,,,,,,,
130,Donata,f,pl,,,,,,,,,,,,,,
131,Dorosława,f,s,,,,,,,,,,,,,,
132,Dorosława,f,pl,,,,,,,,,,,,,,
133,Dyzma,f,s,,,,,,,,,,,,,,
134,Dyzma,f,pl,,,,,,,,,,,,,,
135,Edeltrauda,f,s,,,,,,,,,,,,,,
136,Edeltrauda,f,pl,,,,,,,,,,,,,,
137,Elena,f,s,,,,,,,,,,,,,,
138,Elena,f,pl,,,,,,,,,,,,,,
139,Eliza,f,s,,,,,,,,,,,,,,
140,Eliza,f,pl,,,,,,,,,,,,,,
141,Elmira,f,s,,,,,,,,,,,,,,
142,Elmira,f,pl,,,,,,,,,,,,,,
143,Elora,f,s,,,,,,,,,,,,,,
144,Elora,f,pl,,,,,,,,,,,,,,
145,Emanuela,f,s,,,,,,,,,,,,,,
146,Emanuela,f,pl,,,,,,,,,,,,,,
147,Emina,f,s,,,,,,,,,,,,,,
148,Emina,f,pl,,,,,,,,,,,,,,
149,Ernesta,f,s,,,,,,,,,,,,,,
150,Ernesta,f,pl,,,,,,,,,,,,,,
151,Fabia,f,s,,,,,,,,,,,,,,
152,Fabia,f,pl,,,,,,,,,,,,,,
153,Fabiana,f,s,,,,,,,,,,,,,,
154,Fabiana,f,pl,,,,,,,,,,,,,,
155,Fabiola,f,s,,,,,,,,,,,,,,
156,Fabiola,f,pl,,,,,,,,,,,,,,
157,Faria,f,s,,,,,,,,,,,,,,
158,Faria,f,pl,,,,,,,,,,,,,,
159,Farida,f,s,,,,,,,,,,,,,,
160,Farida,f,pl,,,,,,,,,,,,,,
161,Fatma,f,s,,,,,,,,,,,,,,
162,Fatma,f,pl,,,,,,,,,,,,,,
163,Felicjana,f,s,,,,,,,,,,,,,,
164,Felicjana,f,pl,,,,,,,,,,,,,,
165,Feliksa,f,s,,,,,,,,,,,,,,
166,Feliksa,f,pl,,,,,,,,,,,,,,
167,Fera,f,s,,,,,,,,,,,,,,
168,Fera,f,pl,,,,,,,,,,,,,,
169,Ferdynanda,f,s,,,,,,,,,,,,,,
170,Ferdynanda,f,pl,,,,,,,,,,,,,,
171,Filipa,f,s,,,,,,,,,,,,,,
172,Filipa,f,pl,,,,,,,,,,,,,,
173,Filipina,f,s,,,,,,,,,,,,,,
174,Filipina,f,pl,,,,,,,,,,,,,,
175,Fiona,f,s,,,,,,,,,,,,,,
176,Fiona,f,pl,,,,,,,,,,,,,,
177,Flawia,f,s,,,,,,,,,,,,,,
178,Flawia,f,pl,,,,,,,,,,,,,,
179,Floriana,f,s,,,,,,,,,,,,,,
180,Floriana,f,pl,,,,,,,,,,,,,,
181,Gerarda,f,s,,,,,,,,,,,,,,
182,Gerarda,f,pl,,,,,,,,,,,,,,
183,Gizela,f,s,,,,,,,,,,,,,,
184,Gizela,f,pl,,,,,,,,,,,,,,
185,Gloria,f,s,,,,,,,,,,,,,,
186,Gloria,f,pl,,,,,,,,,,,,,,
187,Gniewomira,f,s,,,,,,,,,,,,,,
188,Gniewomira,f,pl,,,,,,,,,,,,,,
189,Gracjana,f,s,,,,,,,,,,,,,,
