name,sex,declination_json
Alicja,f,"{"nominativus": {"s": "Alicja", "pl": "Alicje"}, "genetivus": {"s": "Alicji", "pl": "Alicji"}, "dativus": {"s": "Alicji", "pl": "Alicjom"}, "accusativus": {"s": "Alicję", "pl": "Alicje"}, "instrumentalis": {"s": "Alicją", "pl": "Alicjami"}, "locativus": {"s": "Alicji", "pl": "Alicjach"}, "vocativus": {"s": "Alicjo", "pl": "Alicje"}}"
Alina,f,"{"nominativus": {"s": "Alina", "pl": "Aliny"}, "genetivus": {"s": "Aliny", "pl": "Alin"}, "dativus": {"s": "Alinie", "pl": "Alinom"}, "accusativus": {"s": "Alinę", "pl": "Aliny"}, "instrumentalis": {"s": "Aliną", "pl": "Alinami"}, "locativus": {"s": "Alinie", "pl": "Alinach"}, "vocativus": {"s": "Alino", "pl": "Aliny"}}"
Amalia,f,"{"nominativus": {"s": "Amalia", "pl": "Amalie"}, "genetivus": {"s": "Amalii", "pl": "Amalii"}, "dativus": {"s": "Amalii", "pl": "Amaliom"}, "accusativus": {"s": "Amalię", "pl": "Amalie"}, "instrumentalis": {"s": "Amalią", "pl": "Amaliami"}, "locativus": {"s": "Amalii", "pl": "Amaliach"}, "vocativus": {"s": "Amalio", "pl": "Amalie"}}"
Amanda,f,"{"nominativus": {"s": "Amanda", "pl": "Amandy"}, "genetivus": {"s": "Amandy", "pl": "Amand"}, "dativus": {"s": "Amandzie", "pl": "Amandom"}, "accusativus": {"s": "Amandę", "pl": "Amandy"}, "instrumentalis": {"s": "Amandą", "pl": "Amandami"}, "locativus": {"s": "Amandzie", "pl": "Amandach"}, "vocativus": {"s": "Amando", "pl": "Amandy"}}"
Amelia,f,"{"nominativus": {"s": "Amelia", "pl": "Amelie"}, "genetivus": {"s": "Amelii", "pl": "Amelii"}, "dativus": {"s": "Amelii", "pl": "Ameliom"}, "accusativus": {"s": "Amelię", "pl": "Amelie"}, "instrumentalis": {"s": "Amelią", "pl": "Ameliami"}, "locativus": {"s": "Amelii", "pl": "Ameliach"}, "vocativus": {"s": "Amelio", "pl": "Amelie"}}"
Anastazja,f,"{"nominativus": {"s": "Anastazja", "pl": "Anastazje"}, "genetivus": {"s": "Anastazji", "pl": "Anastazji"}, "dativus": {"s": "Anastazji", "pl": "Anastazjom"}, "accusativus": {"s": "Anastazję", "pl": "Anastazje"}, "instrumentalis": {"s": "Anastazją", "pl": "Anastazjami"}, "locativus": {"s": "Anastazji", "pl": "Anastazjach"}, "vocativus": {"s": "Anastazjo", "pl": "Anastazje"}}"
Andrea,f,"{"nominativus": {"s": "Andrea", "pl": "Andree"}, "genetivus": {"s": "Andrei", "pl": "Andrei"}, "dativus": {"s": "Andrei", "pl": "Andreom"}, "accusativus": {"s": "Andreę", "pl": "Andree"}, "instrumentalis": {"s": "Andreą", "pl": "Andreami"}, "locativus": {"s": "Andrei", "pl": "Andreach"}, "vocativus": {"s": "Andreo", "pl": "Andree"}}"
Andrzeja,f,"{"nominativus": {"s": "Andrzeja", "pl": "Andrzeje"}, "genetivus": {"s": "Andrzei", "pl": "Andrzei"}, "dativus": {"s": "Andrzei", "pl": "Andrzejom"}, "accusativus": {"s": "Andrzeję", "pl": "Andrzeje"}, "instrumentalis": {"s": "Andrzeją", "pl": "Andrzejami"}, "locativus": {"s": "Andrzei", "pl": "Andrzejach"}, "vocativus": {"s": "Andrzejo", "pl": "Andrzeje"}}"
Aneta,f,"{"nominativus": {"s": "Aneta", "pl": "Anety"}, "genetivus": {"s": "Anety", "pl": "Anet"}, "dativus": {"s": "Anecie", "pl": "Anetom"}, "accusativus": {"s": "Anetę", "pl": "Anety"}, "instrumentalis": {"s": "Anetą", "pl": "Anetami"}, "locativus": {"s": "Anecie", "pl": "Anetach"}, "vocativus": {"s": "Aneto", "pl": "Anety"}}"
Angelika,f,"{"nominativus": {"s": "Angelika", "pl": "Angeliki"}, "genetivus": {"s": "Angeliki", "pl": "Angelik"}, "dativus": {"s": "Angelice", "pl": "Angelikom"}, "accusativus": {"s": "Angelikę", "pl": "Angeliki"}, "instrumentalis": {"s": "Angeliką", "pl": "Angelikami"}, "locativus": {"s": "Angelice", "pl": "Angelikach"}, "vocativus": {"s": "Angeliko", "pl": "Angeliki"}}"
Aniela,f,"{"nominativus": {"s": "Aniela", "pl": "Aniele"}, "genetivus": {"s": "Anieli", "pl": "neutr."}, "dativus": {"s": "Anieli", "pl": "Anielom"}, "accusativus": {"s": "Anielę", "pl": "Aniele"}, "instrumentalis": {"s": "Anielą", "pl": "Anielami"}, "locativus": {"s": "Anieli", "pl": "Anielach"}, "vocativus": {"s": "Anielo", "pl": "Aniele"}}"
Anita,f,"{"nominativus": {"s": "Anita", "pl": "Anity"}, "genetivus": {"s": "Anity", "pl": "Anit"}, "dativus": {"s": "Anicie", "pl": "Anitom"}, "accusativus": {"s": "Anitę", "pl": "Anity"}, "instrumentalis": {"s": "Anitą", "pl": "Anitami"}, "locativus": {"s": "Anicie", "pl": "Anitach"}, "vocativus": {"s": "Anito", "pl": "Anity"}}"
Anna,f,"{"nominativus": {"s": "Anna", "pl": "Anny"}, "genetivus": {"s": "Anny", "pl": "Ann"}, "dativus": {"s": "Annie", "pl": "Annom"}, "accusativus": {"s": "Annę", "pl": "Anny"}, "instrumentalis": {"s": "Anną", "pl": "Annami"}, "locativus": {"s": "Annie", "pl": "Annach"}, "vocativus": {"s": "Anno", "pl": "Anny"}}"
Antonina,f,"{"nominativus": {"s": "Antonina", "pl": "Antoniny"}, "genetivus": {"s": "Antoniny", "pl": "Antonin"}, "dativus": {"s": "Antoninie", "pl": "Antoninom"}, "accusativus": {"s": "Antoninę", "pl": "Antoniny"}, "instrumentalis": {"s": "Antoniną", "pl": "Antoninami"}, "locativus": {"s": "Antoninie", "pl": "Antoninach"}, "vocativus": {"s": "Antonino", "pl": "Antoniny"}}"
Apolonia,f,"{"nominativus": {"s": "Apolonia", "pl": "Apolonie"}, "genetivus": {"s": "Apolonii", "pl": "Apolonii"}, "dativus": {"s": "Apolonii", "pl": "Apoloniom"}, "accusativus": {"s": "Apolonię", "pl": "Apolonie"}, "instrumentalis": {"s": "Apolonią", "pl": "Apoloniami"}, "locativus": {"s": "Apolonii", "pl": "Apoloniach"}, "vocativus": {"s": "Apolonio", "pl": "Apolonie"}}"
Ariadna,f,"{"nominativus": {"s": "Ariadna", "pl": "Ariadny"}, "genetivus": {"s": "Ariadny", "pl": "Ariadn"}, "dativus": {"s": "Ariadnie", "pl": "Ariadnom"}, "accusativus": {"s": "Ariadnę", "pl": "Ariadny"}, "instrumentalis": {"s": "Ariadną", "pl": "Ariadnami"}, "locativus": {"s": "Ariadnie", "pl": "Ariadnach"}, "vocativus": {"s": "Ariadno", "pl": "Ariadny"}}"
